modality,dgp,bias_winner,bias_best,coverage_winner,coverage_best,ite_rmse_winner,ite_rmse_best,ite_corr_winner,ite_corr_best,causal_forest_bias,causal_forest_coverage,causal_forest_ite_rmse,causal_forest_ite_corr,deephte_bias,deephte_coverage,deephte_ite_rmse,deephte_ite_corr,linear_dml_bias,linear_dml_coverage,linear_dml_ite_rmse,linear_dml_ite_corr
graph,centrality,deephte,0.04057389855844274,causal_forest,1.0,deephte,0.11436313986778254,deephte,0.4292593336896348,0.047416355393860174,1.0,0.23166042465785225,0.17896697386539306,0.04057389855844274,1.0,0.11436313986778254,0.4292593336896348,0.04657070607030164,1.0,0.13731845351958513,0.17061632548671937
graph,density,deephte,0.040899778614369435,causal_forest,1.0,deephte,0.11650044992566104,deephte,0.3039841872882564,0.04896434902800622,1.0,0.23267144128598333,0.11630704219557084,0.040899778614369435,1.0,0.11650044992566104,0.3039841872882564,0.04693702135919329,1.0,0.1379164692998561,0.03763360337158221
graph,size,deephte,0.04099472688850224,causal_forest,1.0,deephte,0.10440096557140346,deephte,0.9968400356055367,0.0494768218779396,1.0,0.242239186890767,0.820242725213671,0.04099472688850224,1.0,0.10440096557140346,0.9968400356055367,0.04706783894869308,1.0,0.13775085315761243,0.9691976272258487
image,brightness,causal_forest,0.06871175416180507,deephte,0.9,linear_dml,0.1381319203054899,linear_dml,0.9901877548841231,0.06871175416180507,1.0,0.22457995852457246,0.9396080160036602,0.07478967184044691,0.9,0.24381891936063763,0.9334342519996204,0.07295324678944369,0.8,0.1381319203054899,0.9901877548841231
image,color,deephte,0.07674289227961585,deephte,0.9,linear_dml,0.1361450888463495,linear_dml,0.9861128686299219,0.07718295047016713,1.0,0.21918838418890632,0.9401674443511467,0.07674289227961585,0.9,0.27152146399021143,0.9211263378799712,0.07897587880621941,0.9,0.1361450888463495,0.9861128686299219
image,complex,causal_forest,0.07073883707903551,deephte,0.9,linear_dml,0.1428386837457999,linear_dml,0.9842708923949326,0.07073883707903551,1.0,0.24821361960613028,0.874226700155819,0.07398701542914674,0.9,0.26529005914926523,0.8834187766974744,0.07349303764582628,0.9,0.1428386837457999,0.9842708923949326
image,texture,deephte,0.07516149083343401,deephte,0.9,linear_dml,0.1395414243539858,linear_dml,0.976323050266064,0.07748072364099767,1.0,0.22127820914922114,0.8926458381418403,0.07516149083343401,0.9,0.26631825268268583,0.871990367921988,0.07994795382019905,0.8,0.1395414243539858,0.976323050266064
multimodal,complex,causal_forest,0.0392669561009523,linear_dml,0.9,linear_dml,0.1669378052490248,linear_dml,0.9183519921214623,0.0392669561009523,1.0,0.21064040379977414,0.7538862357984997,0.049617859862365374,0.8,0.4810016453266144,0.5712550884077526,0.0429582531266401,0.9,0.1669378052490248,0.9183519921214623
multimodal,image_dominant,causal_forest,0.03783427682626121,linear_dml,0.9,linear_dml,0.1642719382958204,linear_dml,0.9635124021296212,0.03783427682626121,1.0,0.21996239306094773,0.8941634600472426,0.045009877882746116,0.8,0.4008921653032303,0.792852719454816,0.040538391942977814,0.9,0.1642719382958204,0.9635124021296212
multimodal,interaction,causal_forest,0.04060883518325268,linear_dml,0.9,linear_dml,0.17267984199210568,linear_dml,0.939860061853472,0.04060883518325268,1.0,0.21916041310672885,0.8509286005642818,0.04700963515924368,0.8,0.43376520574092864,0.7129907300189136,0.04272377841075877,0.9,0.17267984199210568,0.939860061853472
multimodal,text_dominant,deephte,0.04798111843302034,linear_dml,0.9,linear_dml,0.16595430415451767,linear_dml,0.8579665518311665,0.04887711633498114,1.0,0.20630426262932477,0.6628748197820448,0.04798111843302034,0.8,0.42848901450634,0.5693987692733133,0.04824960753070958,0.9,0.16595430415451767,0.8579665518311665
tabular,balanced,linear_dml,0.02268408354072692,causal_forest,1.0,linear_dml,0.38669981821644983,causal_forest,0.9337188288441028,0.02700581413722174,1.0,0.4020638390171314,0.9337188288441028,0.02595707577991213,1.0,0.4782181452561324,0.9071127303542752,0.02268408354072692,1.0,0.38669981821644983,0.9315108810415584
