sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch
0,linear,naive,-0.4948844015598297,0.030570769713544298,-0.16818094145857462,-0.32670346010125506,False,0.8358432063450278,0.7685598598690987,0.8864639425438564,0.7224662374228651,0.0,11.0
0,linear,influence,-0.10856187500804662,0.4762167827653682,-0.16818094145857462,0.059619066450528,True,0.9206907445573892,0.7056735920420965,0.8555337888520883,0.6900922764079017,0.0,8.6
1,linear,naive,-0.265796422958374,0.024945578614327255,-0.1689357272689882,-0.09686069568938582,False,0.7694951470071619,0.5898820304412796,0.893695196564456,0.7470343677421387,0.0,13.0
1,linear,influence,-0.650815761487931,0.44101080295303724,-0.1689357272689882,-0.48188003421894277,True,0.8929451578557209,0.6379060259887731,0.8537634862353459,0.7196140948495456,0.0,10.8
2,linear,naive,-0.24445541203022003,0.029587805407137055,-0.16662931897079106,-0.07782609305942897,False,0.8509304595393294,0.6810127751846677,0.8857507351555995,0.7197241908657304,0.0,13.0
2,linear,influence,0.018863633424043656,0.48699090794902333,-0.16662931897079106,0.1854929523948347,True,0.9245236452902827,0.723356150874074,0.8568410106615261,0.7041758471329745,0.0,10.02
3,linear,naive,-0.24728593230247498,0.021843532925897975,-0.1641535789221187,-0.08313235338035627,False,0.8252613870408909,0.6922431632090539,0.8879785112622691,0.6269452534357605,0.0,23.0
3,linear,influence,-0.29414282929897306,0.5767536638724826,-0.1641535789221187,-0.12998925037685435,True,0.863279336383903,0.6872973726812951,0.8626763645553146,0.6658293329004256,0.0,8.28
4,linear,naive,-0.03582025319337845,0.024841539755908606,-0.16608956022339524,0.1302693070300168,False,0.9022001988488516,0.6208070552752631,0.867525039288512,0.738161540789381,0.0,6.0
4,linear,influence,-0.06248463255912066,0.4859869453527074,-0.16608956022339524,0.1036049276642746,True,0.9097307050174349,0.631909439696469,0.845030649877076,0.7179762705411287,0.0,10.1
5,linear,naive,-0.2895483672618866,0.02833643264526062,-0.1667168172189741,-0.12283155004291249,False,0.8127214936481097,0.6701681151248863,0.8960928660754552,0.7145523959179955,0.0,24.0
5,linear,influence,-0.45984657254070044,0.46461586125417037,-0.1667168172189741,-0.29312975532172636,True,0.9000507888494513,0.6464190999234309,0.8690310519721672,0.6994432112862804,0.02,11.5
6,linear,naive,-0.20439453423023224,0.024030559898591163,-0.16602701341062898,-0.03836752081960326,True,0.7645602171125133,0.7038459939269522,0.8988152690929688,0.6206384773871153,0.0,17.0
6,linear,influence,-0.3740211318656802,0.532173711734208,-0.16602701341062898,-0.20799411845505122,True,0.849978595391535,0.6934241000305624,0.8757165833605579,0.6320561716935281,0.0,11.86
7,linear,naive,-0.30332258343696594,0.026965555712841236,-0.16765652844230786,-0.1356660549946581,False,0.7904433240876021,0.6312128933417248,0.899886783375435,0.7253929871502768,0.0,8.0
7,linear,influence,0.2061707292497158,0.3696388010218346,-0.16765652844230786,0.37382725769202363,True,0.871281035661069,0.6577745032445963,0.8739378831880777,0.7074120460802863,0.0,11.42
